t_sec,T_des_target_N,T_des_active_N,T_meas_N,ee_x_m,ee_y_m,ee_z_m,ee_des_x_m,ee_des_y_m,ee_des_z_m
1779787781.6958115,10.0,0.5400436699999996,0.04610299187000732,0.24754742787700715,-0.010571485168384777,0.5530544882964152,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.7058303,10.0,0.5600825859999996,0.05441586090655312,0.24754708167789333,-0.010573377133896647,0.5530546585195549,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.7158234,10.0,0.5801492759999995,0.04959190541782351,0.2475476732307126,-0.010571990827733002,0.5530527034330495,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.7258976,10.0,0.5999762479999996,0.04172174275083686,0.24754776124452427,-0.010571777153233599,0.5530520712064126,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.7358274,10.0,0.6200428979999997,0.04070653718224633,0.24754757485313925,-0.010569978799665364,0.553053456270562,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.7458389,10.0,0.6399798399999995,0.039812817311491486,0.24754781482513732,-0.01056798670170106,0.5530515429835801,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.7558134,10.0,0.6599993199999993,0.03512834602311662,0.2475464240798838,-0.010570069941011303,0.5530542336106472,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.765855,10.0,0.6799649959999993,0.04094364692583817,0.24754827753761885,-0.01056919018155973,0.5530515644335599,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.775855,10.0,0.6999947559999992,0.03887741920839983,0.24754708594403893,-0.010570100526832745,0.5530525481160083,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.7858849,10.0,0.7199587299999992,0.042037455881499854,0.24754675657746525,-0.010568307538047326,0.5530541250852858,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.7958617,10.0,0.7401137879999992,0.04215644875276394,0.24754638298204565,-0.010569950614624287,0.5530535408888719,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.8058324,10.0,0.7600353999999991,0.039642915750250085,0.24754655864094022,-0.010567893785700387,0.5530523194183724,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.8158407,10.0,0.7800699299999989,0.035659669113158175,0.2475468739419057,-0.010567103675961824,0.5530525981866828,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.8258135,10.0,0.8000380299999988,0.0346054638377526,0.24754603802324512,-0.010567029835505285,0.5530520952077473,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.8358738,10.0,0.820062439999999,0.03437297737090292,0.24754602719455326,-0.010566561632853902,0.5530531680265798,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.8458364,10.0,0.8401266239999989,0.03186384592995542,0.2475458587229135,-0.010567325152770498,0.5530521952021183,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.855859,10.0,0.8603007579999988,0.030655560535403054,0.2475458931710421,-0.010565656576201808,0.5530503892030414,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.865864,10.0,0.8800417079999988,0.02857174283461791,0.24754607007781265,-0.010567244621239527,0.553050243801583,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.8758662,10.0,0.9000446959999987,0.024476478867443512,0.2475466653373182,-0.01056648070629275,0.5530523022037585,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.885841,10.0,0.9199702759999986,0.021799056799555794,0.24754532073487776,-0.010565994139189796,0.5530520571520424,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.895817,10.0,0.9400800479999987,0.018339262148721933,0.24754433991517555,-0.010566863563394396,0.5530507813133309,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.9058137,10.0,0.9600870239999983,0.018999756938488654,0.2475442522615892,-0.010566783364452008,0.5530522895141732,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.9158087,10.0,0.9799734699999985,0.024824594633313116,0.24754335458885676,-0.010566599396484341,0.5530524914012643,0.24754494657087256,-0.010846458000035305,0.553115630809717
